scuba-control-id,nist-800-53-control-id
MS.AAD.1.1v1,CM-7
MS.AAD.2.1v1,"AC-2(12), AC-2(13)"
MS.AAD.2.2v1,AC-2(12)
MS.AAD.2.3v1,"AC-2(12), AC-2(13)"
MS.AAD.3.1v1,"IA-2(1), IA-2(2), IA-5c, IA-5g, IA-2(8)"
MS.AAD.3.2v1,"IA-2(1), IA-2(2)"
MS.AAD.3.3v2,"IA-2(1), IA-2(2), IA-5c, IA-5g, IA-2(8), IA-2(13)"
MS.AAD.3.4v1,CM-7
MS.AAD.3.5v1,"CM-7b, IA-5c"
MS.AAD.3.6v1,"IA-2(1), IA-5c, IA-5g, IA-2(8)"
MS.AAD.3.7v1,"AC-20b, IA-3"
MS.AAD.3.8v1,"AC-20b, IA-3"
MS.AAD.3.9v1,CM-7
MS.AAD.4.1v1,AU-4
MS.AAD.5.1v1,"AC-6(10), CM-5"
MS.AAD.5.2v1,"AC-6(10), CM-5"
MS.AAD.5.3v1,CM-4
MS.AAD.6.1v1,IA-5(1)
MS.AAD.7.1v1,AC-6(5)
MS.AAD.7.2v1,AC-5
MS.AAD.7.3v1,AC-6(5)
MS.AAD.7.4v1,AC-2
MS.AAD.7.5v1,AC-2
MS.AAD.7.6v1,AC-6(1)
MS.AAD.7.7v1,AC-2(1)
MS.AAD.7.8v1,AC-6(9)
MS.AAD.7.9v1,AC-6(9)
MS.AAD.8.1v1,AC-6
MS.AAD.8.2v1,AC-6(10)
MS.AAD.8.3v1,AC-3
MS.TEAMS.1.1v1,AC-17a
MS.TEAMS.1.2v2,SC-15a
MS.TEAMS.1.3v1,SC-15a
MS.TEAMS.1.4v1,AC-3
MS.TEAMS.1.5v1,SC-15a
MS.TEAMS.1.6v1,CM-7
MS.TEAMS.1.7v2,AC-21a
MS.TEAMS.2.1v2,AC-3
MS.TEAMS.2.2v2,"CM-7, SI-8"
MS.TEAMS.2.3v2,"CM-7, SC-7(10)(a)"
MS.TEAMS.4.1v1,"SI-8, SC-7(10)(a), AC-4"
MS.TEAMS.5.1v2,CM-11
MS.TEAMS.5.2v2,CM-11
MS.TEAMS.5.3v2,CM-11
MS.TEAMS.6.1v1,SC-7(10)
MS.TEAMS.6.2v1,SC-7(10)
MS.TEAMS.7.1v1,SI-3a
MS.TEAMS.7.2v1,SI-3a
MS.TEAMS.8.1v1,SI-3a
MS.TEAMS.8.2v1,AU-12c
MS.SHAREPOINT.1.1v1,"AC-2, AC-3, IA-8"
MS.SHAREPOINT.1.2v1,"AC-2, AC-3, IA-8"
MS.SHAREPOINT.1.3v1,"AC-3, AC-6(10)"
MS.SHAREPOINT.2.1v1,AC-6
MS.SHAREPOINT.2.2v1,AC-6
MS.SHAREPOINT.3.1v1,"AC-3, AC-21b"
MS.SHAREPOINT.3.2v1,AC-6
MS.SHAREPOINT.3.3v1,IA-11
MS.POWERPLATFORM.1.1v1,AC-6(10)
MS.POWERPLATFORM.1.2v1,AC-6(10)
MS.POWERPLATFORM.2.1v1,SC-7(10)
MS.POWERPLATFORM.2.2v1,SC-7(10)
MS.POWERPLATFORM.3.1v1,"AC-3, SC-7(5)"
MS.POWERPLATFORM.3.2v1,"AC-3, SC-7(5)"
MS.POWERPLATFORM.4.1v1,SI-10
MS.POWERPLATFORM.5.1v1,AC-6(10)
MS.POWERBI.1.1v1,"CM-7, SC-7(10)(a)"
MS.POWERBI.2.1v1,"CM-7, AC-6"
MS.POWERBI.3.1v1,"CM-7, AC-6"
MS.POWERBI.4.1v1,"AC-4, AC-6(5)"
MS.POWERBI.4.2v1,"AC-4, AC-6(5)"
MS.POWERBI.5.1v1,"CM-7, IA-5g"
MS.POWERBI.6.1v1,"CM-7, SI-3"
MS.POWERBI.7.1v1,"AC-21b, SC-7(10)(a)"
MS.EXO.1.1v2,AC-4
MS.EXO.2.2v2,AC-2d
MS.EXO.3.1v1,SC-8
MS.EXO.4.1v1,SI-8
MS.EXO.4.2v1,SI-8
MS.EXO.4.3v1,SI-4(5)
MS.EXO.4.4v1,SI-4(5)
MS.EXO.5.1v1,CM-7
MS.EXO.6.1v1,"AC-3, SC-7(10)(a)"
MS.EXO.6.2v1,"AC-3, SC-7(10)(a)"
MS.EXO.7.1v1,SI-8
MS.EXO.8.1v2,SC-7(10)
MS.EXO.8.2v2,SC-7(10)
MS.EXO.8.3v1,SC-7(10)
MS.EXO.8.4v1,SC-7(10)
MS.EXO.9.1v2,SI-3
MS.EXO.9.2v1,SI-3
MS.EXO.9.3v2,SI-3
MS.EXO.9.4v1,SI-3
MS.EXO.9.5v1,SI-3
MS.EXO.10.1v1,SI-3
MS.EXO.10.2v1,SI-3
MS.EXO.10.3v1,SI-3
MS.EXO.11.1v1,SI-8
MS.EXO.11.2v1,"AT-2b, SI-8"
MS.EXO.11.3v1,SI-8
MS.EXO.12.1v1,AC-4
MS.EXO.12.2v1,AC-4
MS.EXO.13.1v1,AU-12c
MS.EXO.14.1v2,SI-8
MS.EXO.14.2v1,SI-8
MS.EXO.14.3v1,SI-8
MS.EXO.14.4v1,SI-8
MS.EXO.15.1v1,SI-3
MS.EXO.15.2v1,SI-3
MS.EXO.15.3v1,"SI-3, AU-12c"
MS.EXO.16.1v1,SI-4(5)
MS.EXO.16.2v1,SI-4(12)
MS.EXO.17.1v1,AU-12
MS.EXO.17.3v1,AU-11
MS.DEFENDER.1.1v1,"CM-6a, SI-3a, SI-8"
MS.DEFENDER.1.2v1,"CM-6a, SI-3a, SI-8"
MS.DEFENDER.1.3v1,"CM-6a, SI-3a, SI-8"
MS.DEFENDER.1.4v1,"CM-6a, SI-3a, SI-8"
MS.DEFENDER.1.5v1,"CM-6a, SI-3a, SI-8"
MS.DEFENDER.2.1v1,SI-8
MS.DEFENDER.2.2v1,SI-8
MS.DEFENDER.2.3v1,SI-8
MS.DEFENDER.3.1v1,SI-3a
MS.DEFENDER.4.1v2,SC-7(10)
MS.DEFENDER.4.2v1,SC-7(10)
MS.DEFENDER.4.3v1,"AC-3, SC-7(10)"
MS.DEFENDER.4.4v1,AT-2b
MS.DEFENDER.4.5v1,SC-7(10)
MS.DEFENDER.4.6v1,AC-19a
MS.DEFENDER.5.1v1,SI-4(5)
MS.DEFENDER.5.2v1,SI-4(5)
MS.DEFENDER.6.1v1,AU-12

MS.DEFENDER.6.3v1,AU-11
